state_forest,site_id,latitude,longitude,ph,cond,temp,depth,length,width,canopy,toc_mgL,tn_mgL,cl_mgL,no3_mgL,no3n_mgL,so4_mgL,na_mgL,nh4_mgL,k_mgL,mg_mgL,ca_mgL,ophos_mgL,pct_organic,teb_sed_ngg,teb_water_ngL
bald_eagle,BDEG_BVR_01,40.9800482,-77.2514738,6.57,50.2,14.3,26,48.53,15.16,87,3.986,0.1545,19.441,0.223,0.0504,4.4498,13.669,NA,0.562,0.332,1.405,NA,42.08496167,3.67,16
bald_eagle,BDEG_BVR_02,40.981016,-77.2506043,7.05,54.5,13.4,14,11.51,3.98,90.38,2.339,0.0962,17.9941,0.2196,0.0496,2.7671,10.817,NA,0.705,0.626,1.115,NA,87.56986414,0.51,24
bald_eagle,BDEG_BVR_04,40.9816007,-77.2491764,8.24,16.7,14.1,28,9.8,8.62,71.62,11.13,0.5047,1.9232,0.2365,0.0534,2.5792,1.472,NA,0.914,0.369,0.811,0.028,36.3827742,0.38,30
bald_eagle,BDEG_GPH_01,40.7521615,-77.6216643,6.08,176,17.2,50.3,15.22,11.61,96.88,11.19,0.3348,1.7151,0.2447,0.0553,1.6404,3.577,0.054,0.955,1.595,31.124,NA,26.4328782,0.11,103
bald_eagle,BDEG_GPH_02,40.751792,-77.6212856,5.95,87.3,16.9,34.4,27.68,10.77,96.62,8.404,0.3014,0.8248,0.2721,0.0615,1.6727,4.979,0.11,0.51,1.326,20.853,NA,68.26936323,0.05,39
bald_eagle,BDEG_GPH_03,40.7526316,-77.6206174,5.66,20.3,15.4,67.4,21.43,11.92,92.2,6.704,0.2313,0.7079,0.2391,0.054,2.2994,3.298,NA,0.454,0.371,4.325,NA,44.07050411,0.72,26
bald_eagle,BDEG_GPH_04,40.7523869,-77.6197652,5.77,70.1,16.6,29,12.9,11.39,83.62,8.911,0.2771,0.6951,0.2352,0.0531,1.5498,5.47,NA,0.776,0.838,14.346,NA,36.59175049,0.03,27
bald_eagle,BDEG_KSR_01,40.799145,-77.512437,4.52,15.1,11.8,23,9.71,8.9,94.8,1.832,0.2005,0.7176,0.2305,0.0521,3.6064,0.981,0.021,0.388,0.143,0.215,NA,40.96087724,0.01,23
bald_eagle,BDEG_KSR_03,40.803689,-77.499264,4.5,14.4,13.7,29.5,25.57,11.65,92.46,3.063,0.1921,0.7135,0.2518,0.0569,3.1617,0.9,0.032,0.403,0.137,0.152,NA,31.20161118,0.24,24
bald_eagle,BDEG_SAMR_03,41.0010508,-77.148886,9.01,19.1,16.3,35.5,34.52,12.7,88.3,6.679,1.545,0.8749,0.2837,0.0641,1.3397,1.011,0.314,0.285,0.118,0.129,NA,57.90974514,ND,ND
