site_id,< 9mm,9-16mm,> 16mm,univoltine,semivoltine,multivoltine,aquatic passive,aquatic active,aer_passive,aer_active,integument,gill,plastron,coll_gath,shredder,scaper_grazer,filter_feeder,piercer_plant,piercer_pred,engulf_pred,dia_known,dia_possible,dia_notknown,burrower,climber,clinger,planktonic,skater,sprawler,swimmer
BDEG_BVR_01,3,0,1,2,2,1,0,0,0,4,2,2,0,4,3,2,0,1,0,1,0,3,2,1,2,2,1,0,2,2
BDEG_BVR_02,3,0,1,0,1,3,0,0,0,3,0,1,3,3,2,0,1,0,1,0,1,1,1,0,1,1,0,1,2,2
BDEG_BVR_04,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
BDEG_GPH_01,3,1,0,3,1,1,0,0,0,4,2,1,2,2,1,0,1,0,1,2,1,1,3,1,0,0,1,0,1,3
BDEG_GPH_02,0,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0
BDEG_GPH_03,1,1,1,1,3,0,0,0,0,3,2,0,2,1,1,0,0,0,2,1,1,1,2,1,0,0,1,0,0,3
BDEG_GPH_04,1,0,1,0,2,1,0,0,0,2,1,0,2,2,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,2
BDEG_KSR_01,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1
BDEG_KSR_03,2,0,0,1,1,1,0,0,0,2,1,0,1,3,2,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1
BDEG_SAMR_03,1,1,0,1,1,0,0,0,0,2,1,0,1,1,1,0,0,1,0,1,0,0,2,0,0,0,1,0,0,2
BDEG_SAMR_04,2,0,0,0,2,1,0,0,0,2,1,0,2,2,1,0,0,1,1,1,0,1,2,1,0,0,0,0,0,2
BDEG_SAMR_05,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
BDEG_SAMR_06,2,0,0,1,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,2
BDEG_SMR_01,2,0,2,3,2,0,0,0,0,4,2,2,1,2,2,0,0,0,1,2,0,2,3,1,1,2,1,0,1,2
BDEG_SMR_02,1,0,1,2,1,0,0,0,0,2,2,1,0,1,1,0,0,0,0,2,1,1,1,1,1,0,1,0,1,1
BDEG_SMR_03,1,1,2,3,2,0,0,0,0,4,2,3,0,2,2,0,0,0,0,3,0,2,3,1,1,2,1,0,2,1
BDEG_SRR_01,0,0,2,0,3,0,0,0,0,2,1,1,1,2,2,0,0,0,1,0,0,2,1,1,1,1,0,0,1,1
ROTH_BR_01,3,2,3,3,3,2,0,0,0,6,2,2,4,2,2,0,0,0,2,4,1,1,5,1,1,0,1,1,3,4
ROTH_BR_03,2,1,3,3,3,1,0,0,0,6,2,2,3,3,2,0,1,0,2,2,1,2,4,1,1,2,1,0,1,4
ROTH_BR_04,1,0,2,1,3,0,0,1,0,2,2,1,1,2,3,0,0,0,0,1,1,2,1,2,1,1,1,0,1,1
ROTH_KR_08,3,0,1,2,1,2,0,0,0,4,2,1,2,2,1,0,1,0,1,2,1,1,3,1,0,1,1,0,0,3
ROTH_KR_09,4,1,0,1,2,3,0,0,0,5,2,0,4,3,1,0,2,0,2,1,2,1,3,1,0,0,1,0,0,5
ROTH_KR_11,0,1,1,1,2,0,0,0,0,2,1,1,1,2,2,0,0,0,1,0,0,2,1,1,1,1,0,0,1,1
ROTH_PSR_01,1,0,1,0,2,1,0,0,0,2,1,1,1,3,2,0,1,0,0,0,1,2,0,1,1,1,0,0,1,1
ROTH_PSR_03,2,1,1,2,2,1,0,0,0,4,1,1,3,1,2,0,0,0,3,0,1,2,2,1,1,0,0,0,0,3
ROTH_PSR_04,3,3,2,2,4,2,0,0,0,7,3,3,3,2,1,1,0,0,3,3,1,3,4,2,0,1,1,0,2,4
ROTH_PSR_05,3,1,2,2,3,2,0,0,0,6,2,1,4,3,2,0,1,1,1,3,1,1,5,1,0,1,1,0,0,5
ROTH_TR_01,2,1,2,3,3,0,0,0,0,5,2,1,3,2,2,0,0,0,3,1,0,2,4,1,1,1,1,0,1,4
ROTH_TR_03,1,0,1,1,1,0,0,0,0,2,1,1,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1
ROTH_TR_05,0,2,0,1,2,0,0,0,0,2,1,0,2,2,2,0,0,1,1,0,0,1,2,1,0,0,0,0,0,2
GWP_PL_06,3,2,2,2,4,2,0,0,0,7,2,2,4,3,2,0,1,1,2,3,1,2,5,1,2,1,1,0,1,6
GWP_PL_07,1,0,3,1,2,1,0,0,0,4,0,2,2,2,1,0,1,0,1,1,1,1,2,0,2,1,0,0,1,3
GWP_PL_08,5,4,4,4,5,4,0,0,0,12,2,4,7,5,3,0,2,1,3,5,5,2,6,1,3,1,1,0,4,8
SC_SSR_03,1,0,0,1,1,0,0,0,0,1,2,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1
SC_SSR_04,9,4,4,3,8,5,1,1,0,13,3,4,9,3,3,3,0,2,5,4,3,3,10,1,4,1,1,0,3,9
SGL_MHS_01,2,2,1,1,4,0,0,0,0,5,1,1,3,2,2,0,0,1,2,2,0,1,4,0,1,1,1,0,1,4
