state_forest,site_id,latitude,longitude,baetidae,callibaetis,procloeon,epiaeschna_heros,pachydiplax_longipennis,coenagrion_enallagma,lestes,monchlonyx,chironomidae,aedes,culex,tabanidae,tipuloidea,dytiscidae,agabini,acilius,agabetes,copelatus,coptotomus,dytiscus,heterosternuta,hydaticus,laccophilus,liodessus,neoporus,uvarus,berosus,enochrus,hydrochara,tropisternus,cyphon,hydrochus,gerris,notonectidae,notonecta,corixidae,chauliodes,sialis,limnephilus,agrypnia,collembola,oligochaeta,physidae,planorbidae
bald_eagle,BDEG_BVR_01,40.9800482,-77.2514738,0,0,1,0,0,0,0,5,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,27,0,0
bald_eagle,BDEG_BVR_02,40.981016,-77.2506043,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
bald_eagle,BDEG_BVR_04,40.9816007,-77.2491764,0,0,0,0,0,0,0,0,66,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bald_eagle,BDEG_GPH_01,40.7521615,-77.6216643,0,0,0,0,1,0,0,9,37,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
bald_eagle,BDEG_GPH_02,40.751792,-77.6212856,0,0,0,0,1,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0
bald_eagle,BDEG_GPH_03,40.7526316,-77.6206174,0,0,0,0,0,0,0,2,57,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0
bald_eagle,BDEG_GPH_04,40.7523869,-77.6197652,0,0,0,0,0,0,0,0,59,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0
bald_eagle,BDEG_KSR_01,40.799145,-77.512437,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
bald_eagle,BDEG_KSR_03,40.803689,-77.499264,0,0,0,0,0,0,0,0,115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,8,0,0
bald_eagle,BDEG_SAMR_03,41.0010508,-77.148886,0,0,0,0,0,0,0,13,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bald_eagle,BDEG_SAMR_04,41.0012555,-77.1484969,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,66,0,0
bald_eagle,BDEG_SAMR_05,41.0012223,-77.1479572,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
bald_eagle,BDEG_SAMR_06,41.00151167,-77.147687,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bald_eagle,BDEG_SMR_01,40.7943824,-77.4462967,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,8,0,0
bald_eagle,BDEG_SMR_02,40.7947128,-77.4458325,0,0,0,1,0,0,0,13,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0
bald_eagle,BDEG_SMR_03,40.7944042,-77.4456708,0,0,0,0,1,0,0,10,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,17,0,0
bald_eagle,BDEG_SRR_01,41.0284798,-77.0517309,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,55,0,0
rothrock,ROTH_BR_01,40.683943,-77.99256,0,0,0,2,0,1,0,2,22,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0
rothrock,ROTH_BR_03,40.683059,-77.994111,0,0,0,0,0,0,0,17,14,3,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,16,0,0,48,0,0
rothrock,ROTH_BR_04,40.683274,-77.995063,0,0,0,0,0,0,0,8,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,65,0,0
rothrock,ROTH_KR_08,40.7026892,-77.9333196,0,0,0,0,0,0,0,5,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11,0,0
rothrock,ROTH_KR_09,40.7024482,-77.9340678,0,0,0,0,0,0,0,7,2,8,1,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
rothrock,ROTH_KR_11,40.7016797,-77.9349923,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
rothrock,ROTH_PSR_01,40.7265275,-77.8524455,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,31,0,0
rothrock,ROTH_PSR_03,40.7275303,-77.8500955,0,0,0,0,0,0,0,0,31,0,0,0,0,0,1,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0
rothrock,ROTH_PSR_04,40.7275793,-77.8497605,0,0,8,0,2,1,0,19,16,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
rothrock,ROTH_PSR_05,40.7288989,-77.8448193,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
rothrock,ROTH_TR_01,40.6364972,-78.0688621,0,0,0,0,0,0,0,58,94,0,0,0,0,0,0,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,73,0,0
rothrock,ROTH_TR_03,40.6362583,-78.0679994,0,0,0,0,0,0,0,29,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0
rothrock,ROTH_TR_05,40.6373093,-78.0670281,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
state_game_land,GWP_PL_06,40.7974064,-77.9627569,0,0,0,0,0,0,1,5,37,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
